City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
264,whitehorse,40,CA,1518300000,76,60.72,-135.06,-9.41,2.24
265,lavrentiya,92,RU,1518301606,98,65.58,-170.99,30.1,14.45
266,kununurra,0,AU,1518300000,94,-15.77,128.74,78.8,3.36
267,abu dhabi,0,AE,1518296400,77,24.47,54.37,62.6,3.36
268,santa rosa,0,AR,1518301389,15,-36.62,-64.29,79.42,11.65
269,katangli,68,RU,1518301610,100,51.71,143.23,6.39,10.76
270,la baneza,24,ES,1518301610,72,42.3,-5.9,26.41,4.83
271,tezu,32,IN,1518301611,72,27.93,96.16,45.99,1.7
272,ossora,12,RU,1518301611,79,59.24,163.07,10.39,6.17
273,mazatlan,20,MX,1518299100,45,23.22,-106.42,84.2,9.17
274,pangnirtung,8,CA,1518301612,70,66.15,-65.72,-36.77,1.03
275,morgantown,90,US,1518300000,76,39.63,-79.96,53.6,4.7
276,ponte san nicolo,75,IT,1518299700,86,45.37,11.92,42.8,4.7
277,paraopeba,40,BR,1518300000,88,-19.28,-44.4,71.6,2.24
278,muli,0,IN,1518301614,80,22.62,71.45,56.43,4.61
279,igunga,92,TZ,1518301614,42,-4.28,33.88,78.75,6.73
280,tautira,75,PF,1518300000,70,-17.73,-149.15,84.2,14.99
281,la ronge,90,CA,1518300300,66,55.1,-105.3,12.2,11.41
282,bubaque,24,GW,1518300000,36,11.28,-15.83,77.0,4.7
283,perry,1,US,1518299400,65,30.12,-83.58,77.0,9.17
284,mookane,44,BW,1518301616,57,-23.68,26.66,73.44,5.17
285,santiago,75,CL,1518300000,12,-33.44,-70.65,84.2,14.99
286,rocha,24,UY,1518301617,47,-34.48,-54.34,77.62,6.96
287,iqaluit,40,CA,1518300000,65,63.75,-68.52,-34.61,2.71
288,portsmouth,90,GB,1518299400,100,50.8,-1.08,50.0,18.34
289,ostrovnoy,0,RU,1518301618,79,68.05,39.51,12.37,14.45
